steel,type,speed,pierce,weight,cost,cost_sq_foot
0.035,c,160,5,1.50,1.00,1.500
0.035,s,100,4.5,1.49,1.90,2.833
0.047,c,140,5,1.96,0.90,1.764
0.047,s,90,5.0,2.02,1.90,3.838
0.060,c,115,5.5,2.65,0.75,1.988
0.060,s,80,5.5,2.73,1.90,5.187
0.075,c,100,7.5,3.06,0.75,2.295
0.075,s,55,7.5,3.15,2.00,6.300
0.105,c,85,9.5,4.38,0.75,3.281
0.120,c,80,10,5.00,0.75,3.750
0.120,s,29,10.0,5.05,2.00,10.100
0.187,c,55,8,7.66,0.76,5.822
0.187,s,22,15.0,7.89,2.10,16.569
0.250,c,40,10,10.21,0.77,7.862
0.375,c,25,30,15.31,0.90,13.779
0.500,c,16,33,20.42,0.92,18.786
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
